Year,Area,ST 2,STrange HTML
2012,NA,"Coral Bookmakers, Smethwick High St.",
2012,NA,"Coral Bookmakers, Smethwick High St.",
2012,NA,"Coral Bookmakers, Smethwick High St.",
2011,Birmingham,"Corparation St, Birmingham",
2011,Birmingham,"Corporation St,Birmingham",
2011,Coventry,"Corporation St ,Coventry.",
2011,Birmingham,"Corporation St, Birmingham",
2011,Birmingham,"Corporation St, Birmingham",
2011,Birmingham,"Corporation St, Birmingham",
2011,NA,"Corporation St, City Centre",
2011,NA,"Corporation St, City Centre",
2011,NA,"Corporation St, City Centre",
2011,NA,"Corporation St, City Centre,",
2011,NA,"Costcutters, Ardern Rd",
2012,NA,"Coton Ln, Erdington, B'Ham",
2012,Walsall,"County Hotel, Walsall",
2011,NA,"Courthouse Ph, Sedgeley",
2011,Coventry,"Coventry Rd, Small Heath, Bham",
2012,Coventry,"Coventry Rd , Sheldon , Nr British Legion Ivy Leaf.",
2011,Birmingham,"Coventry Rd, Birmingham City Fc",
2011,Coventry,"Coventry Rd, Small Heath",
2011,Coventry,"Coventry Rd, Small Heath",
2012,Coventry,"Coventry Rd, Small Heath",
2011,Coventry,"Coventry Rd,Small Heath",
2012,NA,"Coxwell Rd, Ladywood",
2011,NA,"Crown Centre, Stourbridge",
2012,Walsall,"Crown Wharf, Walsall",
2012,Walsall,"Crown Wharf, Walsall",
2012,Walsall,"Crown Wharf, Walsall",
2012,Walsall,"Crown Wharf, Walsall",
2012,Walsall,"Crown Wharf, Walsall",
2012,Walsall,"Crown Wharf, Walsall",
2012,Walsall,"Crown Wharf, Walsall",
2012,Wolverhampton,"Csatle St, Wolverhampton",
2011,NA,"Cxhurch Rd, Stechford, Bham",
2011,Birmingham,"Dale End, Birmingham",
2011,Birmingham,"Dale End, Birmingham",
2011,Birmingham,"Dale End, Birmingham",
2012,NA,"Dale End, City Centre",
2011,NA,"Dangerfield Ln, Darlaston",
2012,Walsall,"Darwall St, Walsall",
2011,NA,"Ddora Rd,  Handsworth",
2012,NA,"Delph Rd, B Hill",
2011,NA,"Devonshire Rd, Smethwick",
2012,NA,"Digbeth Coach Station, City Centre",
2012,NA,"Digbeth Coach Station, City Centre",
2011,NA,"Digbeth High St, City Centre",
2012,NA,"Dorest Drive, Aldridge",
2011,NA,"Dovedale Rd, Erdington, B'Ham",
2011,NA,"Downside Rd, Erdington, B'Ham",
2012,NA,"Drews Ln, Ward End",
2012,Solihuil,"Drury Ln ,Solihull.",
2011,NA,"Duchess Parade, West Bromwich",
2011,Dudley,"Dudley Rd, Brierley Hill",
2011,Dudley,"Dudley Rd, Kingswinford",
2011,Dudley,"Dudley St, Wolverhampton",
2011,Wolverhampton,"Dunstall Rd, Wolverhampton",
2011,NA,"Dunton Hall Rd, Shirley",
2012,NA,"Dyas Ave, Great Barr",
2011,NA,"Eachelhurt Rd, Erdington",
2012,NA,"Each Way Ln, Rubery",
2012,NA,"Ebrook Rd, Sutton Coldfield",
2012,Birmingham,"Edgbaston St, Birmingham",
2011,Wolverhampton,"Edham Rd, Wolverhampton",
2012,NA,"Edward Rd, Balsall Heath",
2011,NA,"Edward Rutland Ph, High St, Stourbridge",
2012,NA,"Edward St, West Bromwich",
2011,NA,"Elgar Crescent, Pensnett",
2012,NA,"Ellys Rd ,Radford.",
2012,NA,"Elm Tree Way, Cradley Heath",
2011,Birmingham,"Elms Pub, Birmingham Rd",
2012,Birmingham,"Emily Rd, Acocks Green, Birmingham",
2012,NA,"Envill St , Stourbridge",
2012,NA,"Ernest Clark Close, Willenhall",
2011,Birmingham,"Essex St, Birmingham",
2011,NA,"Essex St, City Centre",
2012,NA,"Essex St, City Centre",
2011,Birmingham,"Etap Hotel Foyer, Birmingham",
2011,Wolverhampton,"Exchange St, City Centre, Wolverhampton",
2012,NA,"Felstone Rd,Great Barr",
2012,NA,"Fenns Crescent, Pensnett",
2011,NA,"Fentham Rd, Erdington, B'Ham",
2011,NA,"Finchley Rd, Kingstanding, B'Ham",
2011,Birmingham,"Five Ways, Birmingham",
2012,NA,"Fiveways, Brd St",
2012,NA,"Flare, Brd St",
2012,NA,"Flaxton Grove, Kitts Green",
2012,Walsall,"Florence St, Walsall",
2012,Coventry,"Flying Standard, Trinity St, Coventry",
2012,NA,"Fold St, City Centre",
2011,Coventry,"Foleshill Rd, Coventry",
2011,Coventry,"Foleshill Rd, Coventry",
2012,Coventry,"Foleshill Rd, Coventry",
2011,NA,"Foremans Rd, Sparkhill",
2012,NA,"Forth Drive, Chelmsley Wood",
2011,NA,"Foster St,Stourbridge",
2011,NA,"Fountain Ln, Oldbury",
